"CODE SITE";"DESIGNATION";"LATITUDE";"LONGITUDE";"OBSERV. 1";"OBSERV. 2";
"1";"SAINTT COLOMB DE LAUZUNUUUUUUUUN";"44.6272100";".4647950";"";"*** FERME LE LUNDI MATIN ***";
"2";"MIRAMONT DE GUYENNE";"44.5988710";".3567230";"";"";
"3";"CASTELJALOUX";"44.3179570";".0916510";"";"";
"4";"DURAS";"44.6799830";".1921960";"";"";
"7";"MEILHAN SUR GARONNE";".0000000";".0000000";"";"";
"8";"SEYCHES";"44.5533300";".3098430";"";"";
"9";"COCUMONT";"44.4537830";".0211470";"";"";
"10";"LA REOLE GAMM VERT";".0000000";".0000000";"";"";
"11";"CASTILLONNES";"44.6331810";".5986370";"";"";
"12";"MONSEGUR";"44.6455210";".0669320";"";"*** FERME LE LUNDI MATIN ***";
"13";"GONTAUD DE NOGARET";".0000000";".0000000";"";"";
"14";"COUSSAN";"44.4647800";".1410140";"";"*** FERME LE LUNDI MATIN ***";
"15";"BERGERAC GAMM VERT";".0000000";".0000000";"";"";
"16";"BOUNIAGUES";"44.7531000";".5323700";"";"*** FERME LE LUNDI MATIN ***";
"17";"VERGT";"45.0307890";".7310740";"";"";
"18";"FRIMONT LA REOLE";"44.5834110";"-.0756810";"";"";
"19";"LE NOMDIEU";"44.0934840";".4794560";"";"";
"20";"NERAC";"44.1573740";".3112860";"";"";
"22";"LE MAS";".0000000";".0000000";"";"*** FERME LE LUNDI MATIN ***";
"23";"CASTETS EN DORTHE";"44.5583000";"-.1525860";"*** OUVERT DU LUNDI AU VENDREDI ***";"*** DE 8H30 A 12H ***";
"24";"CONDITIONNEMENT COUSSAN";".0000000";".0000000";"";"";
"25";"ST PARDOUX ISAAC";"44.6080500";".3565030";"";"";
"26";"SARLAT GAMM VERT";".0000000";".0000000";"";"";
"27";"MONBAHUS";"44.5359200";".5070070";"*** OUVERT DU LUNDI AU VENDREDI ***";"*** DE 8H30 À 12H ***";
"28";"MONTBARTIER CENTRAL PHYTOS";".0000000";".0000000";"IMPERATIVEMENT DE 8H30 A 11H30";"SUR RENDEZ-VOUS UNIQUEMENT";
"29";"MARMANDE";"44.5083400";".1426300";"RECEPTION DE MARCHANDISES";"DE 8H A 12H ET DE 14H A 16H";
"30";"TONNEINS GAMM VERT";".0000000";".0000000";"";"";
"33";"TONNEINS LA QUEILLE";"44.4022350";".3052680";"";"";
"34";"TONNEINS DELTA SUD";".0000000";".0000000";"";"";
